PID, Ptr, Size
1,   001, 256
1,   002, 128
1,   003, 16384
2,   004, 128
2,   005, 8192
2,   006, 512
2,   007, 4096
2,   008, 512
2,   009, 8192
3,   010, 2048
3,   011, 16384
4,   012, 128
4,   013, 1024
4,   014, 256
4,   015, 128
4,   016, 16384
4,   017, 8192
4,   018, 8192
5,   019, 8192
5,   020, 256
5,   021, 2048
5,   022, 16384
5,   023, 512
6,   024, 512
6,   025, 4096
6,   026, 4096
6,   027, 4096
6,   028, 2048
6,   029, 8192
7,   030, 8192
7,   031, 8192
7,   032, 8192
8,   033, 512
8,   034, 4096
8,   035, 2048
8,   036, 8192
8,   037, 8192
8,   038, 2048
9,   039, 2048
9,   040, 512
9,   041, 512
10,   042, 1024
10,   043, 256
10,   044, 256
11,   045, 8192
11,   046, 16384
11,   047, 512
11,   048, 16384
11,   049, 2048
11,   050, 256
11,   051, 2048
11,   052, 2048
11,   053, 1024
11,   054, 16384
12,   055, 256
12,   056, 16384
12,   057, 8192
12,   058, 2048
12,   059, 2048
12,   060, 128
13,   061, 1024
13,   062, 512
14,   063, 1024
14,   064, 8192
14,   065, 128
14,   066, 1024
14,   067, 256
14,   068, 16384
14,   069, 4096
14,   070, 8192
14,   071, 8192
15,   072, 2048
15,   073, 8192
15,   074, 256
15,   075, 8192
16,   076, 1024
16,   077, 128
16,   078, 8192
16,   079, 1024
16,   080, 512
16,   081, 16384
16,   082, 2048
16,   083, 1024
16,   084, 2048
17,   085, 2048
17,   086, 1024
17,   087, 4096
17,   088, 128
17,   089, 16384
17,   090, 128
17,   091, 16384
18,   092, 128
18,   093, 256
18,   094, 8192
18,   095, 16384
18,   096, 2048
18,   097, 512
18,   098, 128
18,   099, 4096
18,   100, 16384
19,   101, 4096
19,   102, 256
20,   103, 256
20,   104, 512
21,   105, 1024
21,   106, 256
21,   107, 4096
21,   108, 16384
21,   109, 128
21,   110, 1024
21,   111, 8192
21,   112, 16384
21,   113, 4096
21,   114, 512
22,   115, 2048
22,   116, 2048
22,   117, 4096
22,   118, 256
22,   119, 256
23,   120, 8192
23,   121, 4096
23,   122, 8192
23,   123, 1024
23,   124, 4096
23,   125, 512
24,   126, 2048
24,   127, 128
24,   128, 2048
25,   129, 512
25,   130, 2048
26,   131, 1024
26,   132, 256
26,   133, 2048
26,   134, 128
26,   135, 8192
26,   136, 8192
26,   137, 256
26,   138, 16384
26,   139, 2048
26,   140, 4096
27,   141, 128
27,   142, 16384
27,   143, 1024
27,   144, 2048
27,   145, 4096
27,   146, 512
28,   147, 128
28,   148, 2048
28,   149, 512
29,   150, 256
29,   151, 4096
